№;Название объекта культурного наследия;Координата, X;Координата, Y;Адрес;X;Y
1;Здания, в которых 1885-1918 гг. находились Высшие женские (Бестужевские) курсы. Здесь преподавали Бестужев-Рюмин К.Н., Менделеев Д.И., Бутлеров А.М., Сеченов И.М. и другие деятели науки;95074.97;111313.46;10-я линия В.О., 31, 33, 35, 39;30.2727402559; 59.9431029957
2;Дом. Здесь в 1868-1872 гг. жил издатель Поляков Н.П.;94550.17;111597.19;"10-я линия В.О., 5; Большой пр. В.О., 37";30.277776876; 59.9383820075
3;Дом Сиверс С.;94799.96;111484.67;10-я линия Васильевского острова, 19;30.275782756; 59.9406282481
4;Дом, где в ноябре 1905 г. и в 1906 г. жил Ленин В.И.;94442.94;117198.75;"10-я Советская ул., 1-3; Дегтярная ул., 39-41";30.3779637815; 59.9371707348
5;Дом, где в июле 1917 г. нелегально жил Ленин В.И.;94324.53;117387.37;10-я Советская ул., 17, кв. 20;30.3813253981; 59.9360982389
6;Трансформаторная подстанция;91608.46;112781.11;11-я Красноармейская ул., 28;30.298717164; 59.9119320613
7;Дом К.Г. Чубакова;95233.81;111107.52;11-я линия В.О., 58, лит. А;30.2690674893; 59.9445362417
8;Дом А.Н. Васильева;91585.8232;113182.0802;12-я Красноармейская ул., 3, лит. А;30.3058819836; 59.9117124648
9;Дом, в котором в 1902-1915 гг. жил академик А.М. Ляпунов;94755.83;111283.97;12-я линия В.О., 27;30.2721892196; 59.9402396026
10;Дом А.А. Смирнова;94875.24;111211.36;12-я линия В.О., 29/53, лит. А;30.2708990581; 59.9413140534
11;Дом П.А. Бенигсена;94959.00;111198.86;12-я линия В.О., 31, 33, 35;30.2706815641; 59.9420663105
12;Особняк Э.Э.Бремме;95101.91;111080.83;12-я линия В.О., д. 41, корпус 1, литера Ж;30.2685804136; 59.9433533285
13;Дом В.И. Упатчева, А.И. Шульгина и И.Н. Реутова (Рабочего жилищного строительного кооперативного товарищества Металлостроя);94683.94;111272.82;13-я линия В.О., 30, лит. А;30.2719844823; 59.9395947556
14;Дом, где в 1912-1941 гг. жил изобретатель парашюта Котельников Г.Е.;94612.04;111209.38;14-я линия В.О., 31-33, лит. А1, А2;30.2708443911; 59.9389517401
15;Комплекс зданий Французского благотворительного общества;95001.68;110986.89;14-я линия В.О., 57-61;30.266892573; 59.9424571083
16;Дом, в котором в 1867-1868 гг. жил Репин Илья Ефимович;94598.49;111073.03;15-я линия В.О., 30;30.2684043861; 59.9388351003
17;Дом, где с 1865 г. жил и в 1871 г. умер композитор Серов Александр Николаевич (кв. 3, 9 - б.кв.21);94229.25;111342.27;"15-я линия В.О., 8; Большой пр. В.О., 40";30.2731932897; 59.9355110608
